   2.500000000000E-002   2.000100000000E+001   1.086332363022E-004
   5.000000000000E-002   4.000400000000E+001   2.172773353850E-004
   7.500000000000E-002   6.000900000000E+001   3.259322972482E-004
   1.000000000000E-001   8.001600000000E+001   4.345981218919E-004
   1.250000000000E-001   1.000250000000E+002   5.432748093161E-004
   1.500000000000E-001   1.200360000000E+002   6.519623595209E-004
   1.750000000000E-001   1.400490000000E+002   7.606607725060E-004
   2.000000000000E-001   1.600640000000E+002   8.693700482717E-004
   2.250000000000E-001   1.800810000000E+002   9.780901868179E-004
   2.500000000000E-001   2.001000000000E+002   1.086821188145E-003
   2.750000000000E-001   2.201210000000E+002   1.195563052252E-003
   3.000000000000E-001   2.201210100117E+002   1.304314718630E-003
   3.250000000000E-001   2.201210200242E+002   1.413078325299E-003
   3.500000000000E-001   2.201210300377E+002   1.521852764357E-003
   3.750000000000E-001   2.201210400522E+002   1.630638084335E-003
   4.000000000000E-001   2.201210500677E+002   1.739434253845E-003
   4.250000000000E-001   2.201210600842E+002   1.848241285982E-003
   4.500000000000E-001   2.201210701017E+002   1.957059189484E-003
   4.750000000000E-001   2.201210801202E+002   2.065887964377E-003
   5.000000000000E-001   2.201210901397E+002   2.174727602049E-003
   5.250000000000E-001   2.201211001602E+002   2.283578085306E-003
   5.500000000000E-001   2.201211101817E+002   2.392439435019E-003
   5.750000000000E-001   2.201211202042E+002   2.501311657341E-003
   6.000000000000E-001   2.201211302277E+002   2.610194728946E-003
   6.250000000000E-001   2.201211402522E+002   2.719088680529E-003
   6.500000000000E-001   2.201211502777E+002   2.827993494926E-003
   6.750000000000E-001   2.201211603042E+002   2.936909146178E-003
   7.000000000000E-001   2.201211703317E+002   3.045835686133E-003
   7.250000000000E-001   2.201211803602E+002   3.154773071611E-003
   7.500000000000E-001   2.201211903897E+002   3.263721345793E-003
   7.750000000000E-001   2.201212004202E+002   3.372680451846E-003
   8.000000000000E-001   2.201212104517E+002   3.481650434275E-003
   8.250000000000E-001   2.201212204842E+002   3.590631279511E-003
   8.500000000000E-001   2.201212305177E+002   3.699623004907E-003
   8.750000000000E-001   2.201212405522E+002   3.808625563246E-003
   9.000000000000E-001   2.201212505877E+002   3.917638988139E-003
   9.250000000000E-001   2.201212606242E+002   4.026663319386E-003
   9.500000000000E-001   2.201212706617E+002   4.135698461055E-003
   9.750000000000E-001   2.201212807002E+002   4.244744474246E-003
   1.000000000000E+000   2.201212907397E+002   4.353801353789E-003
   1.025000000000E+000   2.201213007802E+002   4.462869106348E-003
