 time,noel,npt,ntens,stress,strain,elstrain,plstrain,dlstrain,pwic,cumwork,heatinc,cumheat,Trise,cumT
0.025000,       1,       5,       4, -0.11076E-14, -0.14399E-19, -0.55381E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       5, -0.26065E-15, -0.33885E-20, -0.13033E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       5,       6,  0.45606E-15,  0.59287E-20,  0.22803E-20,  0.36484E-20,  0.36484E-20,  0.16639E-35,  0.16639E-35,  0.14975E-29,  0.14975E-29,  0.40588E-36,  0.40588E-36
0.025000,       1,       6,       1,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       2,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       4, -0.65154E-15, -0.84701E-20, -0.32577E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       5, -0.39096E-15, -0.50825E-20, -0.19548E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       6,       6,  0.91221E-15,  0.11859E-19,  0.45611E-20,  0.72977E-20,  0.72977E-20,  0.66571E-35,  0.66571E-35,  0.59914E-29,  0.59914E-29,  0.16239E-35,  0.16239E-35
0.025000,       1,       7,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       4, -0.55381E-15, -0.71996E-20, -0.27691E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       5, -0.61893E-15, -0.80461E-20, -0.30946E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       7,       6, -0.19549E-15, -0.25414E-20, -0.97744E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.00000E+00,  0.39534-318,  0.00000E+00,  0.39534-318
0.025000,       1,       8,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       2,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       4, -0.97732E-16, -0.12705E-20, -0.48866E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       5,  0.13035E-15,  0.16945E-20,  0.65173E-21,  0.10428E-20,  0.10428E-20,  0.13592E-36,  0.13592E-36,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       1,       8,       6,  0.13036E-15,  0.16947E-20,  0.65180E-21,  0.10429E-20,  0.10429E-20,  0.13595E-36,  0.13595E-36,  0.24468E-30,  0.24468E-30,  0.66319E-37,  0.66319E-37
0.025000,       2,       1,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       1,       2,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       1,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       1,       4,  0.10425E-14,  0.13552E-19,  0.52124E-20,  0.83398E-20,  0.83398E-20,  0.86940E-35,  0.86940E-35,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       1,       5,  0.10425E-14,  0.13552E-19,  0.52124E-20,  0.83398E-20,  0.83398E-20,  0.86940E-35,  0.86940E-35,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       1,       6, -0.13033E-14, -0.16943E-19, -0.65165E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.15649E-28,  0.15649E-28,  0.42415E-35,  0.42415E-35
0.025000,       2,       2,       1,  0.21902E-11, -0.30001E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       2,       2,  0.21902E-11, -0.30001E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       2,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       2,       4,  0.65154E-15,  0.84701E-20,  0.32577E-20,  0.52124E-20,  0.52124E-20,  0.33961E-35,  0.33961E-35,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       2,       5,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       2,       6, -0.10426E-14, -0.13554E-19, -0.52130E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       2,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       4,  0.65154E-15,  0.84701E-20,  0.32577E-20,  0.52124E-20,  0.52124E-20,  0.33961E-35,  0.33961E-35,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       5, -0.26062E-15, -0.33880E-20, -0.13031E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       3,       6, -0.19550E-15, -0.25415E-20, -0.97749E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.30565E-29,  0.30565E-29,  0.82842E-36,  0.82842E-36
0.025000,       2,       4,       1,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       4,       2,  0.21974E-11, -0.30001E-04,  0.10987E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       4,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       4,       4,  0.19546E-15,  0.25410E-20,  0.97732E-21,  0.15637E-20,  0.15637E-20,  0.30565E-36,  0.30565E-36,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       4,       5, -0.26062E-15, -0.33880E-20, -0.13031E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       4,       6, -0.22076E-36, -0.28699E-41, -0.11038E-41,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.27508E-30,  0.27508E-30,  0.74558E-37,  0.74558E-37
0.025000,       2,       5,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       5,       2,  0.21956E-11, -0.30001E-04,  0.10978E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       5,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       5,       4,  0.13031E-15,  0.16940E-20,  0.65154E-21,  0.10425E-20,  0.10425E-20,  0.13584E-36,  0.13584E-36,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       5,       5,  0.52117E-15,  0.67752E-20,  0.26058E-20,  0.41693E-20,  0.41693E-20,  0.21729E-35,  0.21729E-35,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       5,       6, -0.78201E-15, -0.10166E-19, -0.39100E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.20779E-29,  0.20779E-29,  0.56319E-36,  0.56319E-36
0.025000,       2,       6,       1,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       6,       2,  0.21938E-11, -0.30001E-04,  0.10969E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       6,       3,  0.20001E+02,  0.10001E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       6,       4, -0.97732E-16, -0.12705E-20, -0.48866E-21,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       6,       5, -0.65161E-15, -0.84710E-20, -0.32581E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       6,       6,  0.13033E-14,  0.16942E-19,  0.65163E-20,  0.10426E-19,  0.10426E-19,  0.13588E-34,  0.13588E-34,  0.12229E-28,  0.12229E-28,  0.33146E-35,  0.33146E-35
0.025000,       2,       7,       1,  0.21902E-11, -0.30001E-04,  0.10951E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       7,       2,  0.21920E-11, -0.30001E-04,  0.10960E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       7,       3,  0.20001E+02,  0.10000E-03,  0.10001E-03,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       7,       4,  0.35835E-15,  0.46585E-20,  0.17917E-20,  0.28668E-20,  0.28668E-20,  0.10273E-35,  0.10273E-35,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       7,       5,  0.10426E-14,  0.13554E-19,  0.52132E-20,  0.83411E-20,  0.83411E-20,  0.86968E-35,  0.86968E-35,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       7,       6, -0.10752E-14, -0.13977E-19, -0.53759E-20,  0.00000E+00,  0.00000E+00, -0.00000E+00,  0.00000E+00,  0.87517E-29,  0.87517E-29,  0.23721E-35,  0.23721E-35
0.025000,       2,       8,       1,  0.21991E-11, -0.30001E-04,  0.10996E-16,  0.00000E+00,  0.00000E+00,  0.00000E+00,  0.23880-317,  0.12352E-28,  0.12352E-28,  0.33478E-35,  0.33478E-35
